epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.1149005136436099,0.79944908618927,0.8583182266213036,0.9431208020314454,0.8518389166780521,0.8765837963809929,0.7617293913947238,4.734465837478638,1.0
2,1.1495955225905747,0.7995497584342957,0.8584347385526503,0.9417527768456042,0.8523226587672345,0.8766701022949442,0.7629934163028183,9.535546731948852,1.0
3,1.1935591151445484,0.7993121147155762,0.8585787347435077,0.941870745695695,0.8528141256236323,0.8765738330434254,0.7630562346112777,7.515831518173218,1.0
