stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9663830399513245,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage2,1701,0.9579095244407654,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage2,1701,0.9737116098403931,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage2,1701,0.9793583750724792,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage2,1701,0.9498794674873352,64,8,0.0003,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
confirmation,1701,0.920333206653595,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
confirmation,2909,inf,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
confirmation,4211,0.9550547003746033,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
confirmation,1701,0.9270555973052979,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
confirmation,2909,inf,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
confirmation,4211,0.9445796608924866,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
confirmation,1701,inf,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,2909,0.9201347827911377,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,4211,inf,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
