stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9390763640403748,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage2,1701,0.9663895964622498,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage2,1701,0.9616115689277649,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage2,1701,0.9568342566490173,500,8,0.0003,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.6,2.0,0.8,0.2,0.2,0.3
stage2,1701,0.9261496067047119,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,1701,0.902484655380249,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,2909,0.896215558052063,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,4211,0.9059199094772339,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,1701,0.8904898166656494,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,2909,0.8925489187240601,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,4211,0.8902515769004822,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,1701,0.907626211643219,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,2909,0.880852997303009,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,4211,0.8948321342468262,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
