stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9983728504470369,0.9816100392526159,0.8765073418617249,16,4,0.001,0.1,1e-05,1.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.6203544724227528,1.592811885415906,1.3860338926315308,125,16,0.0003,0.01,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0358814908949054,1.0173730448221627,0.8650618195533752,125,8,0.0003,0.1,1e-05,1.0,128,0.25,1.0,0.005,0.6,2.0,0.5,0.2,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.987749942021547,0.9744800793268803,0.8612770438194275,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage1,1701,0,0.8947679867992204,0.8787817835104291,0.8167693614959717,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage1,1701,0,0.9125956608470938,0.8966793921101822,0.8198832273483276,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage1,1701,0,1.003364978752586,0.9867980254654198,0.8846962451934814,32,4,0.0003,0.01,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.0100844816643573,0.9924877187892069,0.8518514633178711,125,8,0.001,0.01,1e-06,1.0,128,0.25,0.5,0.01,0.75,2.0,0.8,0.2,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,1.071885600406927,1.0516449832535129,0.8939666152000427,250,8,0.001,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.6,2.0,0.5,0.2,0.8,0.3,periodic_electronic,multiscale,shared
stage1,1701,0,1.3538062505578161,1.3316716401021251,1.1306582689285278,250,16,0.001,0.01,1e-06,0.5,128,0.15,1.0,0.0,0.85,2.0,0.5,0.8,0.8,0.05,periodic,multiscale,per_endpoint
