molecule_id,cyp_target,intervention,target,bond_index,ring_bond,mean_lyapunov,std_lyapunov,positive_block_fraction,repeats
OCNT-2328784,CYP1A2,ring_opening,10-11:AROMATIC,10,True,0.01064138812944293,0.00036614900454878807,0.98,2
OCNT-2328784,CYP1A2,bond_type_change,10-11:AROMATIC->single,10,True,0.011102704331278801,0.00024926289916038513,0.985,2
OCNT-2328784,CYP1A2,bond_type_change,10-11:AROMATIC->double,10,True,0.011329713743180037,0.0006039389409124851,0.98,2
OCNT-2328784,CYP1A2,bond_type_change,10-11:AROMATIC->triple,10,True,0.011889709625393152,0.00023999763652682304,0.95,2
OCNT-2328784,CYP1A2,bond_deletion,11-12:AROMATIC,11,True,0.011188456322997808,0.0003727204166352749,0.985,2
OCNT-2328784,CYP1A2,ring_opening,11-12:AROMATIC,11,True,0.011808631476014853,5.6681688874959946e-05,0.98,2
OCNT-2328784,CYP1A2,bond_type_change,11-12:AROMATIC->single,11,True,0.011109752580523491,0.00019246339797973633,0.985,2
OCNT-2328784,CYP1A2,bond_type_change,11-12:AROMATIC->double,11,True,0.010696026030927896,7.683178409934044e-05,0.9824999999999999,2
OCNT-2328784,CYP1A2,bond_type_change,11-12:AROMATIC->triple,11,True,0.011445166543126106,0.0002847351133823395,0.985,2
OCNT-2328784,CYP1A2,bond_deletion,12-13:AROMATIC,12,True,0.01133613521233201,0.00010834215208888054,0.9824999999999999,2
OCNT-2328784,CYP1A2,ring_opening,12-13:AROMATIC,12,True,0.01105869421735406,0.0001526833511888981,0.9775,2
OCNT-2328784,CYP1A2,bond_type_change,12-13:AROMATIC->single,12,True,0.011235321406275034,0.0005454984493553638,0.98,2
OCNT-2328784,CYP1A2,bond_type_change,12-13:AROMATIC->double,12,True,0.01089500542730093,5.0191767513751984e-05,0.9824999999999999,2
OCNT-2328784,CYP1A2,bond_type_change,12-13:AROMATIC->triple,12,True,0.011566040571779013,0.00023107649758458138,0.985,2
OCNT-2328784,CYP1A2,bond_deletion,13-14:AROMATIC,13,True,0.010940695647150278,0.000911384355276823,0.9824999999999999,2
OCNT-2328784,CYP1A2,ring_opening,13-14:AROMATIC,13,True,0.011112775187939405,0.0004691123031079769,0.985,2
OCNT-2328784,CYP1A2,bond_type_change,13-14:AROMATIC->single,13,True,0.010717793833464384,0.0002616061829030514,0.9724999999999999,2
OCNT-2328784,CYP1A2,bond_type_change,13-14:AROMATIC->double,13,True,0.010882634203881025,0.00023099174723029137,0.9775,2
OCNT-2328784,CYP1A2,bond_type_change,13-14:AROMATIC->triple,13,True,0.011591718066483736,0.0001062457449734211,0.98,2
OCNT-2328784,CYP1A2,bond_deletion,14-5:AROMATIC,14,True,0.011740936897695065,2.3068860173225403e-05,0.9775,2
OCNT-2328784,CYP1A2,ring_opening,14-5:AROMATIC,14,True,0.01077501056715846,0.0004230090416967869,0.975,2
OCNT-2328784,CYP1A2,bond_type_change,14-5:AROMATIC->single,14,True,0.010973168071359396,0.00010528834536671638,0.98,2
OCNT-2328784,CYP1A2,bond_type_change,14-5:AROMATIC->double,14,True,0.011685119476169348,0.0003633233718574047,0.985,2
OCNT-2328784,CYP1A2,bond_type_change,14-5:AROMATIC->triple,14,True,0.012095294427126646,5.438225343823433e-05,0.98,2
OCNT-2328784,CYP1A2,bond_deletion,14-9:AROMATIC,15,True,0.010308356024324894,0.0010230280458927155,0.9724999999999999,2
OCNT-2328784,CYP1A2,ring_opening,14-9:AROMATIC,15,True,0.010981793981045485,0.0007950137369334698,0.9775,2
OCNT-2328784,CYP1A2,bond_type_change,14-9:AROMATIC->single,15,True,0.010472665540874004,0.00027060601860284805,0.9824999999999999,2
OCNT-2328784,CYP1A2,bond_type_change,14-9:AROMATIC->double,15,True,0.01223366055637598,0.00018384866416454315,0.99,2
OCNT-2328784,CYP1A2,bond_type_change,14-9:AROMATIC->triple,15,True,0.010708548594266176,0.00031113671138882637,0.955,2
OCNT-2328784,CYP1A2,atom_feature_ablation,element_identity,-1,False,0.01058865338563919,0.00022519845515489578,0.9775,2
OCNT-2328784,CYP1A2,atom_feature_ablation,charge_aromaticity,-1,False,0.011819884646683931,0.00014517875388264656,0.98,2
OCNT-2328784,CYP1A2,atom_feature_ablation,hybridisation,-1,False,0.01102155027911067,0.00015805521979928017,0.98,2
