feature,spearman_rho,cluster_bootstrap_low,cluster_bootstrap_high
algebraic_connectivity,-0.23505731946465958,-0.35173544457217676,-0.1176573266866346
molecular_weight,0.22840099042640802,0.1200575681795861,0.3373708584587763
graph_diameter,0.2084460084876302,0.09025731298221439,0.32414246771929095
mean_shortest_path,0.20725325966051936,0.09233562363219258,0.32381450884870244
heavy_atoms,0.1989279351724067,0.07937017431160083,0.313719315681727
graph_density,-0.19869228430324082,-0.3106797807180484,-0.0783494449322378
bonds,0.1901189969817348,0.07239391003048211,0.3039438234857218
tpsa,0.180923846037619,0.0627249600553521,0.29598543285825546
hba,0.1795955235812913,0.0684876809664274,0.29970360533392254
radius_of_gyration_3d,0.17440539723761486,0.050362618615680116,0.28531885061404455
conjugated_bonds,0.13254694742511733,0.011921011357450228,0.2526345970377792
aromatic_rings,0.11745280990695676,-0.00434457230009886,0.23396657586813113
eccentricity_3d,0.11319454756047045,-0.011909598752647143,0.23710393227053359
spherocity_index_3d,-0.11317637974928989,-0.22806771645115256,0.002903734030005761
asphericity_3d,0.11179073476578807,-0.017138420608672995,0.23193845697340038
heteroatom_fraction,0.08982144972318248,-0.03562294977166427,0.2147808212068596
cyclomatic_number,0.0826644995491955,-0.039632443968624406,0.20807876057877486
aromatic_bonds,0.08046710437714022,-0.03544244352492402,0.2005615412708813
ring_bonds,0.08009206892429417,-0.038441560496646134,0.20707837909303742
rings,0.07815249413726207,-0.04379579875279656,0.2028893344851398
formal_charge,-0.07328509761681751,-0.14048213403579324,-0.06443579785015943
laplacian_largest,-0.0726209592329258,-0.19332184535058836,0.0521741232873624
double_bonds,0.06935246380814938,-0.05046498348427829,0.19165396098760584
triple_bonds,-0.06401116820905728,-0.18801294312034006,0.06477896243365985
rotatable_bonds,0.0304784166187755,-0.08916099967907425,0.14521489927923575
fraction_csp3,-0.0217933532905302,-0.13756411719958303,0.09852155750758959
adjacency_spectral_radius,0.015216944704174284,-0.10552910568043672,0.13985730725289955
aromatic_atom_fraction,0.01259054865441778,-0.11323450885400566,0.13456411869269755
single_bonds,-0.011549526249744407,-0.13895547355459922,0.10731292858593565
logp,0.011167965112220145,-0.11191230794305969,0.12720692714543194
degree_variance,-0.007059959375787063,-0.1254574035809,0.11865652978445096
degree_mean,-0.00534016665152944,-0.11994272705371338,0.11530025234585062
inertial_shape_factor_3d,-0.003087130376757999,-0.11720132137667466,0.11620770893880472
hbd,-0.002503901734484386,-0.12261845303014278,0.12428003586651055
