epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.0112419198516327,0.8759775161743164,0.8934787256704824,0.9348748014364251,0.8134406117812056,1.0818813026556093,0.7437181868086895,7.659865081310272,1.0
2,0.9875007112607201,0.8776876926422119,0.8955952441930053,0.9575636258073889,0.79866537988886,1.0667113521517668,0.7594406189240053,5.585837125778198,1.0
3,1.0153153982689989,0.8819576501846313,0.9123294264315427,1.0175155361055677,0.8080913599517427,1.071653600789715,0.7520572088791455,5.484590828418732,1.0
4,1.0533558197603972,0.882283091545105,0.9040061171242655,1.0111398736004498,0.8151576512925757,1.0221665919878375,0.7675603516161986,5.64710821211338,1.0
