stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9444052577018738,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage2,1701,0.9736295938491821,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage2,1701,0.9610497355461121,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
stage2,1701,0.9177138805389404,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
stage2,1701,0.9649222493171692,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
confirmation,1701,0.8998162150382996,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,2909,0.8830826282501221,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,4211,0.8970898389816284,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,1701,0.8827915191650391,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,2909,0.8880239725112915,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,4211,0.8861600756645203,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,1701,0.9283627867698669,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
confirmation,2909,0.925822377204895,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
confirmation,4211,0.9227024912834167,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
