stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,1.0207535155020446,1.0018647292892744,0.8770126700401306,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,0.9750659760975,0.9624698840033223,0.8759477138519287,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,1.0470629040859936,1.027034001599623,0.8801705837249756,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,0.9843736023740072,0.9704464992992896,0.8796043395996094,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.04187335063084,1.0183234313903726,0.8611973524093628,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,1.0754616489364894,1.0566029236182684,0.8884877562522888,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0773419356441014,1.0544775686563235,0.8895335793495178,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,0.9494887590386194,0.9291812901614783,0.8151731491088867,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,1.0128585925789202,0.9938521942467681,0.8543285131454468,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,0.9827189887004549,0.9670525422098578,0.8619205951690674,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,0.957063077378051,0.939827631154824,0.8391196727752686,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage1,1701,0,0.9287161139044375,0.9132238304888627,0.8483704328536987,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage1,1701,0,0.9361606383371732,0.9218772290287273,0.8320962190628052,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage1,1701,0,1.025096370562333,1.0055640244857236,0.8664608001708984,125,16,0.003,0.01,0.0001,2.0,128,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.3,valence
stage1,1701,0,1.065951450886416,1.0456409210283377,0.8744411468505859,16,16,0.003,1.0,1e-05,1.0,128,0.25,0.5,0.01,0.85,2.0,0.5,0.2,0.2,0.15,baseline
stage1,1701,0,0.9194866347037361,0.9074657175404133,0.8455468416213989,64,4,0.003,0.1,0.0001,2.0,64,0.4,0.5,0.01,0.85,2.0,0.5,0.8,0.2,0.05,electronic_local
stage1,1701,0,0.9652858620568754,0.9487600212722581,0.8450039625167847,500,8,0.003,1.0,0.0001,0.5,128,0.4,1.0,0.0,0.85,2.0,0.2,0.5,0.8,0.3,ring_geometry
stage1,1701,0,0.9916524405676576,0.9744475524469077,0.8491178154945374,64,8,0.003,1.0,0.0001,1.0,128,0.25,0.5,0.005,0.75,0.5,0.5,0.8,0.8,0.3,periodic_valence
stage1,1701,0,0.9744185307278128,0.9597833336129202,0.851116955280304,500,8,0.001,0.01,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,valence
stage1,1701,0,1.0211475070546097,1.0044928277419982,0.8870056867599487,125,4,0.003,0.1,1e-05,2.0,128,0.08,0.5,0.005,0.85,2.0,0.2,0.5,0.8,0.15,periodic_electronic
stage1,1701,0,1.0056875699170307,0.9854972856800044,0.8401221036911011,32,16,0.0003,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.75,0.5,0.8,0.5,0.5,0.05,electronic_local
stage1,1701,0,1.0727870944076885,1.0555278113223667,0.9134896993637085,32,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,0.999610183722657,0.9853686864006888,0.8827810883522034,125,4,0.001,0.01,1e-05,0.5,128,0.15,1.5,0.01,0.6,2.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,1.0068376642342869,0.9897068623454559,0.8632710576057434,16,16,0.0003,1.0,1e-06,1.0,128,0.25,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.3,periodic_valence
stage1,1701,0,0.997072255253864,0.9844596638812582,0.9023053050041199,16,4,0.001,0.1,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.5,0.2,0.5,0.05,ring_geometry
stage1,1701,0,0.9697146848097884,0.9571572958163932,0.8594106435775757,125,4,0.0003,0.1,1e-05,0.5,64,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.05,local_environment
stage2,1701,0,0.9223405457019445,0.9181822677177085,0.8430184721946716,64,4,0.003,0.1,0.0001,2.0,64,0.4,0.5,0.01,0.85,2.0,0.5,0.8,0.2,0.05,electronic_local
stage2,1701,1,0.9324849793538373,0.9284286917293406,0.9117247462272644,64,4,0.003,0.1,0.0001,2.0,64,0.4,0.5,0.01,0.85,2.0,0.5,0.8,0.2,0.05,electronic_local
stage2,1701,2,0.8903611039395636,0.8850172218970755,0.8875892758369446,64,4,0.003,0.1,0.0001,2.0,64,0.4,0.5,0.01,0.85,2.0,0.5,0.8,0.2,0.05,electronic_local
stage2,1701,0,0.875279558462445,0.8708514578988811,0.8207216858863831,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,1,0.8929776284342947,0.8897467921596023,0.8747216463088989,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,2,0.8718638352572067,0.8676694202289099,0.8817170858383179,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,0,0.8846734361153524,0.8809028931456089,0.8173800706863403,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,1,0.9135987549185799,0.9096789910915348,0.8821549415588379,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,2,0.8719951604827108,0.8662714974224037,0.8636885285377502,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,0,0.8867663546546835,0.88177405788132,0.8124063611030579,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,1,0.8754514666513447,0.8718973867283011,0.8764030337333679,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,2,0.8310562796956609,0.826121124957238,0.8517395853996277,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,0,0.847584090284434,0.843786248787045,0.7948771715164185,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,1,0.849435133857344,0.8468068181464298,0.856641948223114,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,2,0.8619590624682606,0.8563559975625716,0.8526027202606201,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,0,0.8847555972923749,0.8804884511968325,0.8295457363128662,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,1,0.9126900956084738,0.9097762869212769,0.885191798210144,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,2,0.8773746188335092,0.8722143527211647,0.8786092400550842,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,0,0.8567644748201999,0.8517684090012061,0.7857270836830139,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage2,1701,1,0.8621149257628518,0.8583262639198286,0.8579012751579285,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage2,1701,2,0.8160092427773105,0.8099614804505597,0.8347806334495544,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage2,1701,0,0.9145204890447469,0.9110881538372084,0.8475578427314758,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,1,0.8972773203829644,0.8940195014657655,0.8955304026603699,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,2,0.8834944815098142,0.878682095905901,0.8866696357727051,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
confirmation,1701,0,0.8349502099782301,0.8324480489557244,0.7760347127914429,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,1,0.8777786490247258,0.8757579779530313,0.8766298294067383,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,2,0.8273196608247058,0.8241686978150128,0.8235259652137756,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,3,0.893494150214329,0.8895810184653812,0.8852099180221558,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,4,0.8737714451081421,0.8706349947497669,0.8709056377410889,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
