stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9370802044868469,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage2,1701,0.9322117567062378,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
stage2,1701,0.9668052196502686,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
stage2,1701,0.9266636371612549,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage2,1701,0.9489383101463318,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
confirmation,1701,0.9008616805076599,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,2909,0.8952286243438721,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,4211,0.8957968950271606,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,1701,0.9086601138114929,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,2909,0.8928161859512329,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,4211,0.8953277468681335,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,1701,0.9104505777359009,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,2909,0.8804659843444824,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,4211,0.8965786695480347,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
