stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,1.002735268798746,0.983586777891017,0.8747381567955017,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,inf,inf,0.853554368019104,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.013327625423333,0.9981508457025624,0.9008694291114807,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0263727425393516,1.004973556565135,0.8586539030075073,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,inf,inf,0.9168996810913086,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.1689764550946709,1.1519561291978386,0.9537681937217712,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,inf,inf,0.8723065257072449,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,inf,inf,0.8838169574737549,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,inf,inf,0.9317567944526672,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,1.0059583260225493,0.9943244587981843,0.9097145795822144,125,4,0.003,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,comprehensive
stage1,1701,0,0.9612706642831105,0.9489183550215127,0.862102210521698,32,4,0.001,0.1,0.0001,0.5,128,0.4,1.5,0.0,0.75,2.0,0.2,0.8,0.8,0.05,periodic
stage1,1701,0,0.9792164636655516,0.9685750601403584,0.8958353400230408,500,4,0.001,0.01,0.0001,1.0,64,0.15,1.5,0.005,0.85,2.0,0.2,0.8,0.5,0.3,local_environment
stage1,1701,0,0.9712451568829016,0.958025297456437,0.8654097318649292,32,4,0.003,1.0,1e-05,2.0,64,0.08,0.5,0.0,0.75,0.5,0.2,0.8,0.8,0.05,periodic
stage1,1701,0,0.9976968598303271,0.9832877089443333,0.8862161636352539,16,4,0.0003,0.01,1e-05,1.0,64,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.8,0.3,valence_electronic
stage1,1701,0,inf,inf,0.9013803005218506,250,16,0.0003,1.0,0.0001,1.0,64,0.08,1.5,0.01,0.85,1.0,0.8,0.8,0.2,0.15,comprehensive
stage1,1701,0,inf,inf,0.8879935145378113,125,8,0.001,0.01,0.0001,0.5,64,0.15,1.5,0.0,0.6,1.0,0.2,0.8,0.2,0.3,baseline
stage1,1701,0,1.0734036601610366,1.055511086938194,0.8827491998672485,250,16,0.0003,0.01,1e-06,0.5,64,0.08,1.0,0.01,0.85,2.0,0.2,0.8,0.8,0.3,electronic_local
stage1,1701,0,0.9783882787619728,0.9618601335613463,0.8677937388420105,64,8,0.0003,0.1,0.0001,1.0,64,0.15,1.5,0.01,0.85,2.0,0.5,0.8,0.8,0.3,periodic
stage1,1701,0,1.0654932787885636,1.0520468024271308,0.9276094436645508,64,4,0.0003,0.01,1e-05,0.5,64,0.25,1.5,0.01,0.75,1.0,0.5,0.8,0.2,0.05,local_environment
stage1,1701,0,1.1024494930292694,1.0865912410925274,0.9466848969459534,500,4,0.0003,0.01,1e-05,0.5,64,0.25,1.5,0.01,0.85,1.0,0.5,0.5,0.2,0.05,comprehensive
stage1,1701,0,1.1193487270207956,1.0990723188137184,0.9339089393615723,64,16,0.001,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.85,2.0,0.8,0.5,0.5,0.05,comprehensive
stage1,1701,0,1.024593984447761,1.0112119287629504,0.899947464466095,125,4,0.001,0.01,1e-05,0.5,128,0.15,1.5,0.01,0.6,2.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,1.0724845589281577,1.0566059781931214,0.911270022392273,16,16,0.0003,1.0,1e-06,1.0,128,0.25,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.3,periodic_valence
stage1,1701,0,1.0867328805704697,1.0753483786971,0.9629908800125122,16,4,0.001,0.1,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.5,0.2,0.5,0.05,ring_geometry
stage1,1701,0,0.9780467667684295,0.964766166567961,0.8690615296363831,64,4,0.0003,1.0,0.0001,2.0,64,0.25,1.5,0.01,0.75,2.0,0.8,0.5,0.8,0.05,electronic
stage2,1701,0,0.8829673708408193,0.8789417050500887,0.817817211151123,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage2,1701,1,0.8804699774250792,0.875794590489868,0.8630154132843018,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage2,1701,2,0.8466237043661542,0.8412698567374939,0.874412477016449,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage2,1701,0,0.8938525145863004,0.8907407407135404,0.8510448336601257,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,1,inf,inf,0.8806365132331848,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,2,0.8926750645987976,0.8874582122662327,0.903728723526001,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage2,1701,0,inf,inf,0.8503095507621765,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage2,1701,1,0.9359035784143535,0.9324586980638576,0.9035062789916992,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage2,1701,2,inf,inf,0.8884583115577698,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage2,1701,0,0.9498512952947397,0.9454433848823793,0.8587782382965088,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage2,1701,1,0.9574823756243971,0.9541677502400748,0.9267234802246094,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage2,1701,2,0.9195695800778162,0.9134357943328755,0.9124666452407837,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage2,1701,0,0.8768162454778256,0.8730744989049937,0.8346667289733887,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,1,0.9472911139080025,0.9441158047732514,0.9187180995941162,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,2,0.8987830698049749,0.8934073232613855,0.8985885977745056,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,0,0.9522594955130651,0.9476311063492984,0.8643600940704346,32,4,0.001,0.1,0.0001,0.5,128,0.4,1.5,0.0,0.75,2.0,0.2,0.8,0.8,0.05,periodic
stage2,1701,1,0.9404144866977442,0.9374467670528517,0.9157108664512634,32,4,0.001,0.1,0.0001,0.5,128,0.4,1.5,0.0,0.75,2.0,0.2,0.8,0.8,0.05,periodic
stage2,1701,2,0.9145037286435002,0.9085368281586361,0.9072732329368591,32,4,0.001,0.1,0.0001,0.5,128,0.4,1.5,0.0,0.75,2.0,0.2,0.8,0.8,0.05,periodic
stage2,1701,0,0.891160496414964,0.8871917493355639,0.8117712140083313,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage2,1701,1,0.9007055108392176,0.8969288224033297,0.8638579845428467,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
