stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0.963965117931366,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
stage1,1701,inf,125,24,0.003,0.1,1e-05,1.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.5,0.2,0.05,electronic
stage1,1701,0.9929454326629639,125,24,0.0003,1.0,1e-05,0.5,64,0.15,1.5,0.0,0.85,1.0,0.5,0.5,0.8,0.05,periodic
stage1,1701,0.968774139881134,250,8,0.001,0.1,0.0001,1.0,64,0.15,1.0,0.01,0.85,0.5,0.2,0.5,0.8,0.3,periodic
stage1,1701,0.9553747773170471,125,16,0.0003,0.3,1e-05,0.5,128,0.25,0.5,0.005,0.6,2.0,0.2,0.5,0.2,0.15,periodic_electronic
stage1,1701,0.9766653180122375,64,8,0.001,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.75,0.5,0.2,0.8,0.5,0.15,valence
stage1,1701,0.9657093286514282,32,16,0.001,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,0.5,0.5,0.5,0.5,0.3,periodic
stage1,1701,0.9938088655471802,32,24,0.001,1.0,1e-05,0.5,64,0.25,1.0,0.0,0.85,1.0,0.2,0.5,0.8,0.3,valence
stage1,1701,0.9481610059738159,125,16,0.003,0.1,1e-05,0.5,128,0.15,0.5,0.0,0.6,2.0,0.8,0.8,0.8,0.3,valence_electronic
stage1,1701,1.0366634130477905,32,8,0.003,0.1,0.0001,1.0,128,0.25,1.5,0.005,0.6,1.0,0.8,0.5,0.2,0.15,periodic_valence
stage1,1701,0.9840974807739258,32,24,0.0003,0.03,1e-05,2.0,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.2,0.15,periodic
stage1,1701,1.055699348449707,125,16,0.003,0.01,1e-05,2.0,128,0.15,1.0,0.01,0.6,0.5,0.2,0.5,0.2,0.3,baseline
stage1,1701,0.9493042230606079,32,16,0.003,1.0,1e-06,0.5,64,0.25,1.5,0.0,0.6,0.5,0.5,0.5,0.5,0.15,periodic_electronic
stage1,1701,0.9614835381507874,125,16,0.0003,0.03,1e-05,1.0,128,0.25,0.5,0.005,0.6,0.5,0.5,0.8,0.2,0.15,periodic
stage1,1701,0.9823117852210999,64,24,0.0003,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.75,1.0,0.8,0.5,0.5,0.05,baseline
stage1,1701,1.0006635189056396,125,8,0.0003,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,2.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,1.0016871690750122,125,16,0.003,0.01,0.0001,2.0,128,0.25,1.0,0.01,0.75,1.0,0.2,0.2,0.5,0.15,baseline
stage1,1701,0.9778469800949097,64,16,0.003,0.3,1e-05,1.0,128,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.5,0.3,electronic
stage1,1701,inf,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
stage1,1701,inf,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
stage1,1701,0.9928171634674072,250,8,0.003,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.8,0.5,0.8,0.15,periodic_electronic
stage1,1701,inf,64,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.85,0.5,0.8,0.5,0.8,0.15,periodic
stage1,1701,0.9743620753288269,32,16,0.003,0.01,0.0001,2.0,128,0.15,1.0,0.005,0.6,1.0,0.2,0.2,0.5,0.05,periodic_electronic
stage1,1701,0.9934846758842468,32,24,0.0003,0.1,1e-06,1.0,128,0.25,1.0,0.01,0.75,1.0,0.2,0.2,0.5,0.15,periodic
stage1,1701,0.9759106636047363,250,16,0.003,0.03,0.0001,2.0,128,0.25,1.5,0.01,0.75,1.0,0.2,0.8,0.2,0.15,ring_geometry
stage1,1701,0.9902271032333374,125,8,0.003,0.01,0.0001,2.0,64,0.25,1.5,0.01,0.6,2.0,0.8,0.2,0.5,0.05,baseline
stage1,1701,1.0492132902145386,64,24,0.003,0.03,1e-05,2.0,64,0.15,1.5,0.005,0.75,2.0,0.2,0.8,0.8,0.3,periodic_valence
stage1,1701,inf,250,16,0.003,0.03,1e-05,2.0,128,0.25,1.5,0.0,0.75,2.0,0.8,0.2,0.8,0.15,periodic
stage1,1701,1.008557915687561,32,16,0.001,0.03,1e-05,1.0,64,0.4,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.3,comprehensive
stage1,1701,0.9663958549499512,64,16,0.003,0.3,1e-06,0.5,128,0.15,1.5,0.01,0.75,2.0,0.8,0.2,0.2,0.15,baseline
stage1,1701,0.9633560180664062,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
stage1,1701,1.0674068927764893,64,16,0.003,0.01,1e-05,0.5,128,0.15,1.5,0.005,0.6,0.5,0.8,0.2,0.8,0.05,periodic
stage1,1701,0.980383574962616,32,16,0.003,0.3,0.0001,2.0,128,0.25,0.5,0.01,0.85,2.0,0.2,0.5,0.5,0.3,valence_electronic
stage2,1701,0.9106969833374023,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,electronic
stage2,1701,0.9291872382164001,32,8,0.0003,0.03,1e-06,1.0,64,0.4,0.5,0.01,0.6,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage2,1701,0.9263936281204224,125,16,0.003,0.1,1e-05,0.5,128,0.15,0.5,0.0,0.6,2.0,0.8,0.8,0.8,0.3,valence_electronic
stage2,1701,0.9297204613685608,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic_electronic
stage2,1701,0.9294191598892212,32,16,0.003,1.0,1e-06,0.5,64,0.25,1.5,0.0,0.6,0.5,0.5,0.5,0.5,0.15,periodic_electronic
stage2,1701,0.9285739064216614,125,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.6,1.0,0.2,0.8,0.2,0.3,periodic
stage2,1701,0.9370977878570557,125,16,0.0003,0.3,1e-05,0.5,128,0.25,0.5,0.005,0.6,2.0,0.2,0.5,0.2,0.15,periodic_electronic
stage2,1701,0.9179219603538513,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic
stage2,1701,0.930930495262146,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic_valence
stage2,1701,0.9304245710372925,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,ring_geometry
stage2,1701,0.922281801700592,125,16,0.0003,0.03,1e-05,1.0,128,0.25,0.5,0.005,0.6,0.5,0.5,0.8,0.2,0.15,periodic
stage2,1701,0.9161413908004761,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
stage2,1701,0.9012413024902344,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
stage2,1701,0.9303719997406006,32,16,0.001,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,0.5,0.5,0.5,0.5,0.3,periodic
stage2,1701,0.9234164357185364,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
stage2,1701,0.9489524960517883,64,16,0.003,0.3,1e-06,0.5,128,0.15,1.5,0.01,0.75,2.0,0.8,0.2,0.2,0.15,baseline
confirmation,1701,0.881399929523468,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
confirmation,2909,0.8776789307594299,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
confirmation,4211,0.8825738430023193,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
confirmation,1701,0.8987725377082825,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,electronic
confirmation,2909,0.8920606374740601,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,electronic
confirmation,4211,0.8980068564414978,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,electronic
confirmation,1701,0.9065828323364258,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
confirmation,2909,0.8889153599739075,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
confirmation,4211,0.8998476266860962,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
confirmation,1701,0.902116596698761,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic
confirmation,2909,0.8887377381324768,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic
confirmation,4211,0.903998076915741,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic
