epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.0607647065271755,0.8739064335823059,0.8655955842904884,0.8209191727347509,0.8866186476605892,0.9692289448166369,0.7856155719499766,6.141039729118347,1.0
2,1.1335205285353103,0.8732910752296448,0.8662847650598398,0.8199304226126788,0.8866260200699696,0.9720220773413991,0.7865605402153116,6.3837870657444,1.0
3,1.041635379408485,0.8724836111068726,0.8658128506007865,0.8163810707813566,0.8869412860396478,0.9732938356008631,0.7866352099812784,7.292834594845772,1.0
4,1.041707697447087,0.8723663687705994,0.8667028968341175,0.815435722618108,0.8897233843362063,0.9754165034585528,0.7862359769236029,6.462765723466873,1.0
