epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.1395372500447047,0.8985918164253235,0.9059253391871492,0.9771902760865396,0.7772252724308872,1.0813035989986042,0.7879822092325658,11.805559704701105,1.0
2,1.088574849242032,0.8978492021560669,0.9044005912625506,0.9799670052013082,0.775622645058744,1.0775003590469494,0.7845123557432007,11.932419002056122,1.0
3,1.143286276886372,0.8976565003395081,0.9043699619816308,0.9796201744287456,0.7730651037598798,1.0848022808331281,0.7799922889047692,11.64776215950648,1.0
4,1.1198159421025808,0.8976632952690125,0.9052362441488021,0.98199748987536,0.7773048059564868,1.0830886935603712,0.7785539872029904,11.954988241195679,1.0
