stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9506996273994446,500,8,0.0003,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.6,2.0,0.8,0.2,0.2,0.3
stage2,1701,0.956522524356842,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
stage2,1701,0.9548243880271912,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage2,1701,0.9551933407783508,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage2,1701,0.9468508362770081,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
confirmation,1701,0.8914913535118103,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,2909,0.8857882022857666,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,4211,0.8795115351676941,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,1701,0.9003017544746399,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
confirmation,2909,0.8984391689300537,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
confirmation,4211,0.888325572013855,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
confirmation,1701,0.9007359147071838,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,2909,0.8857079744338989,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
confirmation,4211,0.8928805589675903,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
