epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.0231355242989937,0.9269030094146729,0.9455159724294764,0.9556242409215858,0.8500813482433804,1.1150176418502302,0.8613406587027089,5.6893471628427505,1.0
2,0.9371371029376503,0.9225241541862488,0.9466023701227406,0.9579453643034773,0.8470386989288642,1.138514433061816,0.8429109841968048,4.064372569322586,1.0
3,0.9391297705754655,0.9195401072502136,0.9439060849162417,0.9612674836423827,0.8301022457647044,1.1559291986213753,0.8283254116365044,3.824244439601898,1.0
4,0.9683299739619556,0.9157263040542603,0.9374999872190668,0.9557413463239709,0.8277592348132727,1.144885026805024,0.8216143409339997,4.039337307214737,1.0
5,0.9024160932600462,0.9149208664894104,0.9361165624441186,0.9540469011814827,0.8251329370911231,1.1450773432934662,0.8202090682104017,3.697266899049282,1.0
