epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.1508576051716395,0.8536128401756287,0.8313415189037939,0.8134433151445556,0.834256970260132,0.9622150614073003,0.7154507288031877,15.00912806391716,1.0
2,1.1703158078609839,0.8522695899009705,0.8289161141415528,0.8117166541967614,0.8264437177066282,0.9552594916748236,0.7222445929879978,10.04157629609108,1.0
3,1.3646936498437816,0.8532342910766602,0.829424296099992,0.8130545636554004,0.8250142132889016,0.9519188966002516,0.7277095108554148,32.172595113515854,1.0
4,1.2105641172249277,0.8530781269073486,0.8288954083968141,0.8116825174645309,0.8237987248008518,0.9482011016919777,0.731899289629896,17.168284952640533,1.0
