epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.2545236439270924,0.774237632489885,0.8027527802745454,0.8391454121897236,0.6848309562643343,0.9747320248008511,0.7123027278432725,25.874135406393755,1.0
2,1.2066238505379168,0.774005173938744,0.8025243674782206,0.8405530268122254,0.6794481162905136,0.9770607048163359,0.7130356219938078,34.66749287906446,1.0
3,1.264213298323419,0.7733828602207832,0.8017157967984959,0.836954779749676,0.6832662459449825,0.974782043834229,0.7118601176650962,24.198611347298872,1.0
4,1.197960701605935,0.7731626992783819,0.8010395972337077,0.8391497047822777,0.679586051440902,0.9744543338787163,0.7109682988329347,52.230037689208984,1.0
