epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.2380770172771176,0.8872522711753845,0.9043024120085902,0.954289390416807,0.8467269310977801,1.0390508208942673,0.7771425056255065,26723.179835968018,1.0
2,1.1645993244938155,0.887877345085144,0.9090565782536115,0.98633826714525,0.8406749244743794,1.0266446894431385,0.7825684319516784,104.06048202514648,1.0
3,1.158955001994852,0.8900431394577026,0.9172721078721168,0.9979231505365483,0.8378175459002106,1.0669872258237505,0.7663605092279578,133.7936505126953,1.0
4,1.2003838629887358,0.8846285939216614,0.9133207174047903,0.9699726340001562,0.8622161939407109,1.0434196473900161,0.7776743942882777,258.7507963562012,1.0
