stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9602172374725342,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage2,1701,0.9632669687271118,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage2,1701,0.9650825262069702,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage2,1701,0.9624917507171631,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
stage2,1701,0.9836061596870422,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
confirmation,1701,0.9045504331588745,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,2909,0.9063048362731934,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,4211,0.8969326615333557,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
confirmation,1701,inf,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,2909,inf,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,4211,inf,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
confirmation,1701,0.9169474840164185,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,2909,0.933654248714447,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,4211,0.9041217565536499,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
