molecule_id,cyp_target,radius,repeat,maximum_absolute_state,early_sliced_distance,late_sliced_distance,sliced_distance_ratio,baseline_sliced_distance,late_to_baseline_ratio,early_cloud_distance,late_cloud_distance,cloud_distance_ratio,late_coherence_mean,late_coherence_std,late_coherence_spectral_entropy
OCNT-2328784,CYP1A2,0.1,1,0.9999994702121604,0.25504926644454384,0.130365045558364,0.511136720272472,0.229806872461877,0.5672808831249834,0.8556783368298466,0.8347172357684342,0.9755035272494217,0.13277532091507638,0.05761409464732395,0.5785060910342446
OCNT-2328784,CYP1A2,0.1,2,0.9999998497042272,0.26379662376153934,0.1511039720129455,0.5728047988572322,0.229806872461877,0.6575259059670305,0.8585818119402175,0.8468698754477737,0.9863589743812796,0.15200984643318002,0.07727594136299078,0.5480193079962081
OCNT-2328784,CYP1A2,0.1,3,0.9999997584423967,0.25626203540167747,0.1656697732507727,0.6464858245236909,0.229806872461877,0.7209086981428543,0.84880896103271,0.8411885479901903,0.9910222283312746,0.12368484381402149,0.07110382683576885,0.5778814369366045
OCNT-2328784,CYP1A2,0.1,4,0.9999999895518901,0.23528862995850142,0.14528333831565915,0.6174685888616174,0.229806872461877,0.6321975350835534,0.8568388019307058,0.8307908426635039,0.9695999303386957,0.14709916675265436,0.07166193273665009,0.5416424400691321
OCNT-2328784,CYP1A2,0.1,5,0.9999994755254134,0.24648130876800367,0.14279379961838445,0.5793291196485275,0.229806872461877,0.621364357334756,0.849401949481981,0.8446023556238161,0.9943494433217489,0.11976201924303115,0.06509166692632935,0.5634927917372774
OCNT-2328784,CYP1A2,0.1,6,0.9999999507117319,0.24056054275201663,0.13487565642295288,0.5606723982244682,0.229806872461877,0.5869087159059074,0.8551008751408571,0.8419171988388767,0.9845823145721742,0.14414048223941825,0.06557614304531176,0.5172334941786147
OCNT-2328784,CYP1A2,0.1,7,0.9999996774613782,0.24286870742517,0.14461922401048477,0.595462567177549,0.229806872461877,0.6293076549939813,0.844619062457594,0.8224406884319749,0.9737415658591857,0.1268243425694255,0.06232168541612549,0.585670157400743
OCNT-2328784,CYP1A2,0.1,8,0.9999999016744406,0.2613206936798758,0.14308579898854148,0.5475486727577153,0.229806872461877,0.622634986742088,0.8591774332528325,0.8406704301561069,0.9784596261721419,0.1544347090265244,0.0718381154910512,0.5822329030885011
OCNT-2328784,CYP1A2,0.5,1,0.9999983158788829,0.26626850186991635,0.1478929262361536,0.5554277926136592,0.229806872461877,0.6435531046213067,0.8534919273655523,0.8434656516988509,0.988252641477642,0.13166366729197282,0.08519814998856932,0.57078127337643
OCNT-2328784,CYP1A2,0.5,2,0.9999993041564363,0.2728940809672883,0.13707436067028209,0.5022987680216968,0.229806872461877,0.5964763333743274,0.8639447852180031,0.8537291255756795,0.9881755642060553,0.16144629789545706,0.09493453638744563,0.5219524403358354
