stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage2,1701,0.9510405659675598,64,8,0.0003,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
stage2,1701,0.9573567509651184,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage2,1701,0.9494670629501343,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage2,1701,0.9622938632965088,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage2,1701,0.9604305028915405,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
confirmation,1701,0.9228394627571106,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
confirmation,2909,0.9356004595756531,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
confirmation,4211,0.9347081780433655,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
confirmation,1701,0.9206414818763733,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,2909,0.9500478506088257,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,4211,0.9421401023864746,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,1701,0.9214555621147156,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
confirmation,2909,0.9045495986938477,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
confirmation,4211,inf,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
