epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.0218394851954073,0.8340607285499573,0.8719689552211988,0.8558506007990067,0.7990320684774926,1.0089395905463305,0.8240535610619655,8.485546290874481,1.0
2,1.077479026383666,0.8269012570381165,0.8680513430274227,0.8656356108690375,0.8130850052432264,0.9843529291304429,0.8091318268669841,7.320688679814339,1.0
3,1.087903277057261,0.8233840465545654,0.8606328726460923,0.8590993679249928,0.7948666394441896,0.9829716494806497,0.8055938337345374,7.085728228092194,1.0
4,1.0346818428495526,0.8242651224136353,0.8595629425682227,0.862711340909438,0.782796473133376,0.989062769397922,0.8036811868321554,6.7659518122673035,1.0
5,1.1319368774587593,0.8255772590637207,0.8622887640775716,0.861992953784944,0.7968531232329604,0.9857762385988378,0.804532740693544,6.327296242117882,1.0
